Short Code	PLU	Description	SKU	EAN
DBM	DBIPH17PROSKILDBLU	Roskilde ICON - iPhone 17 Pro - Blue	688464	5711428066459
DBM	DBIPH17PROSKILDPIN	Roskilde ICON - iPhone 17 Pro - Pink Sand	511493	5711428067968
DBM	DBIPH17ROSKILDBLU	Roskilde ICON - iPhone 17 - Blue	579566	5711428066442
DBM	DBIPH17APROSKILDBLU	Roskilde ICON - iPhone 17 Air - Blue	686649	5711428066466
DBM	DBIPH16EICESTARCLR	Dbramante Iceland iPhone 16E	757991	5711428065414
DBM	DBIPH16EGREENBLA	Dbramante Greenland iPhone 16E	713469	5711428065339
SAM	SAM60WFASTCGR	60W Power Adapter	560540	8806097819882
DBM	DBS25EDGEGREENPCLR	Dbramante Greenland Pro S25 Edge	542813	5711428067869
DBM	DBS25EDGEGREENPBLA	Dbramante Greenland S25 Edge	529399	5711428067852
DBM	DBSAMA17GREENLANDBLA	Greenland Case for A17 - Black	688133	5711428068965    
DBM	DBSLIM30WFASTCWHI	Ultra Slim Dual 30w Eco Fast Charger	426479	5711428072177
DBM	DBSLIM45WFASTCWHI	Ultra Slim Dual 45w Eco Fast Charger	426460	5711428072184
DBM	DBSLIM5KPWRBNKGRE	Eco Slim 5,000mAh Powerbank	426461	5711428071774
ZAG	ZAGIPH17PMCPKCIKCLR	Crystal Palace Snap KS iPhone 17 Pro Max	583667	840390358127
ZAG	ZAGIPH17PMMANSNPRED	Manhattan Snap iPhone 17 Pro Max Black Cherry	579080	840390360120
ZAG	ZAGIPH17PMMANSNPBLU	Manhattan Snap iPhone 17 Pro Max Ocean Abyss	678762	840390365606
ZAG	ZAGIPH17PMMANSNPPIN	Manhattan Snap iPhone 17 Pro Max Pink Blush	708966	840390360281
ZAG	ZAGIPH17PCPKICKCLR	Crystal Palace Snap KS iPhone 17 Pro	776640	840390358110
ZAG	ZAGIPH17PMANSNPRED	Manhattan Snap iPhone 17 Pro Cherry	850178	840390360113
ZAG	ZAGIPH17PMANSNPBLU	Manhattan Snap iPhone 17 Pro Ocean Abyss	636492	840390365590
ZAG	ZAGIPH17PMANSNPPIN	Manhattan Snap iPhone 17 Pro Pink Blush	710545	840390360274
ZAG	ZAGIPH17CPKICKCLR	Crystal Palace Snap KS iPhone 17	594110	840390358097
ZAG	ZAGIPH17MANSNPRED	Manhattan Snap iPhone 17 Black Cherry	549248	840390360090
ZAG	ZAGIPH17MANSNPBLU	Manhattan Snap iPhone 17 Ocean Abyss	582386	840390365576
ZAG	ZAGIPH17MANSNPPIN	Manhattan Snap iPhone 17 Pink Blush	681069	840390360250
ZAG	ZAGIPH17ACPKICKCLR	Crystal Palace Snap KS iPhone 17 Air	581138	840390358103
SAM	SAMS26CLRCSE	Clear Case for S26	562492	8806097934592
ZAG	ZAGSAMA16LUXBUN	Zagg A16 Luxe Bundle	683262	840390341365
ZAG	ZAGMOTE14FOLIOBLA	ZAGG Folio for Moto E14 Black	410666	840390343895
SAM	SAMS26MAGCSE	Clear Magnet Case for S26	696433	8806097935650
SAM	SAMS26PCLRCSE	Clear Case for S26+	631811	8806097934417
SAM	SAMS26PMAGCSE	Clear Magnet Case for S26+	532147	8806097935629
SAM	SAMS26PSILCSEBLA	Silicone Case for S26+ - Black	627451	8806097934707
SAM	SAMS26SILCSEBLA	Silicone Case for S26 - Black	590624	8806097934769
SAM	SAMS26SILCSEBLU	Silicone Case for S26 - Blue	667841	8806097934721
SAM	SAMS26SILCSEGRE	Silicone Case for S26 - Grey	516846	8806097934752
SAM	SAMS26UCLRCSE	Clear Case for S26 Ultra	659833	8806097887041
SAM	SAMS26UMAGCSE	Clear Magnet Case for S26 Ultra	729774	8806097880110
SAM	SAMS26USILCSEBLA	Silicone Case for S26 Ultra - Black	696060	8806097887225
SAM	SAMS26USILCSEBLU	Silicone Case for S26 Ultra - Blue	657150	8806097887195
SAM	SAMS26USILCSEGRE	Silicone Case for S26 Ultra - Grey	647698	8806097887232
ZAG	ZAGGOOPIX10ALUXBLA	Luxe Case for Pixel 10a - Black	532995	840390387035
ZAG	ZAGSAMA56LUXCLR	ZAGG Luxe for A56 Clear	410630	840390350367
ZAG	ZAGSAMA56LUXBLA	ZAGG Luxe for A56 Black	410631	840390350381
ZAG	ZAGSAMA56CPLITECLR	ZAGG Crystal for A56 Clear	410655	840390350404
ZAG	ZAGSAMA36LUXCLR	ZAGG Luxe Case for A36 Clear	410637	840390350350
ZAG	ZAGSAMA36CPLITECLR	ZAGG Crystal Palace Lite for A36 Clear	410657	840390350398
ZAG	ZAGSAMA26LUXCLR	ZAGG Luxe for A26 Clear	410635	840390352590
ZAG	ZAGSAMA26CPLITECLR	ZAGG Crystal Palace Lite A26 Clear	410656	840390352613
INV	INVSAMA26GLSSP	InvisibleShield Elite for A26	410634	840390352545
ZAG	ZAGSAMS24LUXCLR	Zagg S24 Luxe Case - Clear	797070	840390303431
ZAG	ZAGSAMS24LUXBLA	Zagg S24 Luxe Case - Black	791457	840390303400
INV	INVSAMS24XTRSP	Invisible Shield S24 XTR3 Screen Protector	614751	840390303257
INV	INVSAMS24GLSSP	Invisible Shield S24 Elite Screen Protector	567796	840390302922
ZAG	ZAGGOOPIX10ALUXBUN	Luxe Bundle for Pixel 10a	769446	840390386984
ZAG	ZAGSAMS26CPCSECLR	Crystal Palace Case for S26	782172	840390381323
ZAG	ZAGSAMS26LUXBLA	Luxe Case - Black for S26	673475	840390381125
ZAG	ZAGSAMS26LUXBUN	Luxe Bundle for S26	612364	840390384935
ZAG	ZAGSAMS26MILBLU	Milan Snap Case for S26	772503	840390382948
APP	APPAIRTAG1PKWHI	Apple AirTag 1 Pack	332269	190199320246
ZAG	ZAGSAMS26PLUXBUN	Luxe Bundle for S26+	783034	840390384942
SAM	SAMS25EDGSILCSEGRY	Samsung Silicone Case S25 Edge	696160	8806097329640
SAM	SAMS25EDGCSECLR	Samsung Clear Case S25 Edge	642820	8806097329633
SAM	SAMFLIP7CSECLR	Samsung Flip 7 Clear Case	730719	8806097466604
SAM	SAMA56CSECLR	Samsung A56 Clear Case	610939	8806097072331
SAM	SAMA56RUGCSEBLA	Samsung A56 Rugged Case	626292	8806097072065
SAM	SAMA36CSECLR	Samsung A36 Clear Case	578461	8806097099727
SAM	SAMA36RUGCSEBLA	Samsung A36 Rugged Case	585806	8806097099604
SAM	SAMA26CSECLR	Samsung A26 Clear Case	676139	8806097076025
SAM	SAMA26RUGCSEBLA	Samsung A26 Rugged Case	680568	8806097076018
SAM	SAM10K25WPBBLA	Samsung 10K 25W Power bank	420503	8806095221670
ZAG	ZAGIPH17PMMANBLA	Manhattan Snap iPhone 17 Pro Max Black	611452	840390360168
ZAG	ZAGIPH17PMCPSNPCLR	Crystal Palace Snap iPhone 17 Pro Max	698308	840390358080
ZAG	ZAGIPH17PMCPCSECLR	Crystal Palace iPhone 17 Pro Max	571276	840390358042
INV	INVIPH17PMXTR5SP	XTR5 iPhone 17 Pro Max Screen	791317	840390356413
INV	INVIPH17PMPRGLSSP	Glass Elite Privacy iPhone 17 Pro Max Screen	596719	840390356291
ZAG	ZAGIPH17PMANBLA	Manhattan Snap iPhone 17 Pro Black	695087	840390360151
ZAG	ZAGIPH17PCPSNPCLR	Crystal Palace Snap iPhone 17 Pro	744979	840390358073
ZAG	ZAGIPH17PCPCSECLR	Crystal Palace iPhone 17 Pro	571944	840390358035
INV	INVIPH17PXTR5SP	XTR5 iPhone 17 Pro Screen	732316	840390356406
INV	INVIPH17PPRGLSSP	Glass Elite Privacy iPhone 17 Pro Screen	646675	840390356284
ZAG	ZAGIPH17MANBLA	Manhattan Snap iPhone 17 Black	733213	840390360137
ZAG	ZAGIPH17CPSNPCLR	Crystal Palace Snap iPhone 17	611217	840390358059
ZAG	ZAGIPH17CPCSECLR	Crystal Palace iPhone 17	537973	840390358011
INV	INVIPH17PRGLSSP	Glass Elite Privacy iPhone 17 Screen	562206	840390356260
INV	INVIPH17GLSSP	Glass Elite iPhone 17 Screen	732357	840390356147
ZAG	ZAGIPH17AMANBLA	Manhattan Snap iPhone 17 Air Black	793577	840390360144
ZAG	ZAGIPH17ACPSNPCLR	Crystal Palace Snap iPhone 17 Air	780941	840390358066
ZAG	ZAGIPH17ACPCSECLR	Crystal Palace iPhone 17 Air	740812	840390358028
INV	INVIPH17PCAMSP	Camera Protection for iPhone 17 Pro/Pro Max	688634	840390356482
INV	INVIPH17CAMSP	Camera Protection for iPhone 17 Black	761557	840390356468
INV	INVIPH17PMGLSSP	Glass Elite iPhone 17 Pro Max Screen	522153	840390356178
INV	INVIPH17PGLSSP	Glass Elite iPhone 17 Pro Screen	549131	840390356161
INV	INVIPH17AGLSSP	Glass Elite iPhone 17 Air Screen	635975	840390356154
INV	INVIPH17ACAMSP	Camera Protection for iPhone 17 Air	603808	840390356505
ZAG	ZAGSAMS26UCPCSECLR	Crystal Palace Case for S26 Ultra	525627	840390381347
ZAG	ZAGSAMS26ULUXBLA	Luxe Case - Black for S26 Ultra	630956	840390381149
APP	APPIPH16PLSICSEGREE	Apple iPhone 16 Plus Silicone Case	397428	195949885242
APP	APP1IPH16PSILCSEGRY	Apple iPhone 16 Pro Silicone Case	397417	195949885303
APP	APPIPH16PSILCSEBLU	Apple iPhone 16 Pro Silicone Case	397418	195949885280
APP	APPIPH16PLSILCSEBLU	Apple iPhone 16 Plus Silicone Case	397426	195949885204
APP	APPIPH16PMSILCSEGRY	Apple iPhone 16 Pro Max Silicone Case	397434	195949885464
ZAG	ZAGSAMS26UMILBLU	Milan Snap Case for S26 Ultra	772792	840390383785
BEL	BEL20WUSBCCOMCHRGWHI	Belkin 20W Compact Wall Charger	744558	745883904501
BEL	BEL30WUSBCCOMCHRGWHI	Belkin 30W Compact Wall Charger	702468	745883891023
